Record Type,CDS Code,Federal School ID,Federal Charter District ID,County,District,School,Status,Open Date,Closed Date,Charter Yes/No,Charter Number,Funding Type,Educational Program Type,Entity Type,Low Grade,High Grade,Virtual Instruction Type,Magnet Yes/No,Year Round Yes/No,Public Yes/No,Multilingual Yes/No,Website,Latitude,Longitude,Last Update,Street Address,Street City,Street State,Street Zip,Mailing Address,Mailing City,Mailing State,Mailing Zip,Phone,Phone Extension,Fax Number,Email,Administrator Name,Administrator Phone,Administrator Phone Ext.,Administrator Email
School,19101990135368,14146,0602408,Los Angeles,Los Angeles County Office of Education,Alma Fuerte Public,Active,8/7/2017,No Data,Y,1859,Directly funded,Traditional,Elementary Schools (Public),K,8,Primarily Classroom,N,N,Y,N,www.almafuerteps.org,34.197588,-118.148509,2/9/2023,119 West Palm St.,Altadena,CA,91001-4375,119 West Palm St.,Altadena,CA,91001,(858) 472-2245,No Data,(626) 529-5258,info@almafuerteps.org,Laurilie Keay,(626) 204-5265,No Data,laurilie.keay@almafuerteps.org
School,19101990136119,14151,0602307,Los Angeles,Los Angeles County Office of Education,Animo City of Champions Charter High,Active,8/9/2017,No Data,Y,1874,Directly funded,Traditional,High Schools (Public),9,12,Not Virtual,N,Y,Y,N,http://greendot.org,33.951586,-118.325055,2/9/2023,9330 South Eighth Ave.,Inglewood,CA,90305-2914,"1149 South Hill St., Ste. 600",Los Angeles,CA,90015,(323) 565-1600,No Data,(323) 565-1610,cha.cde@greendot.org,Cen'cere Cooks,(323) 565-4485,No Data,cha.cde@greendot.org
School,19101990109660,10891,0601821,Los Angeles,Los Angeles County Office of Education,Aspire Antonio Maria Lugo Academy,Active,9/6/2005,No Data,Y,0694,Directly funded,Traditional,Elementary Schools (Public),K,6,Not Virtual,N,N,Y,N,www.aspirepublicschools.org,33.984203,-118.196598,2/9/2023,6100 Carmelita Ave.,Huntington Park,CA,90255-4138,"1001 22nd Ave., Ste. 100",Oakland,CA,94606,(323) 585-1153,No Data,(323) 585-1283,data-contact@aspirepublicschools.org,Dawn Barnes,No Data,No Data,data-contact@aspirepublicschools.org
School,19101990112128,11655,0601857,Los Angeles,Los Angeles County Office of Education,Aspire Ollin University Preparatory Academy,Active,9/11/2006,No Data,Y,0693,Directly funded,Traditional,K-12 Schools (Public),6,12,Not Virtual,N,N,Y,N,www.aspirepublicschools.org,33.990154,-118.226537,2/9/2023,2540 East 58th St.,Huntington Park,CA,90255-2659,2540 East 58th St.,Huntington Park,CA,90255-2659,(323) 277-2901,No Data,(323) 587-3978,data-contact@aspirepublicschools.org,Kieu Nguyen,No Data,No Data,data-contact@aspirepublicschools.org
School,19101990140798,14577,0602564,Los Angeles,Los Angeles County Office of Education,Bridges Preparatory Academy,Active,8/23/2021,No Data,Y,2114,Directly funded,Traditional,Intermediate/Middle Schools (Public),6,8,Primarily Classroom,N,N,Y,N,http://bpacompton.org,33.893146,-118.215427,2/9/2023,400 South Santa Fe Ave.,Compton,CA,90221-3244,400 South Santa Fe Ave.,Compton,CA,90221,(562) 200-8819,No Data,No Data,agomez@bpacompton.org,Alejandro Gomez,(562) 200-8819,No Data,agomez@bpacompton.org
School,19101990138669,14355,0602215,Los Angeles,Los Angeles County Office of Education,Da Vinci RISE High,Active,8/6/2018,No Data,Y,2017,Directly funded,Traditional,High Schools (Public),9,12,Primarily Virtual,N,N,Y,N,www.davincischools.org,33.917773,-118.383986,2/9/2023,201 North Douglas St.,El Segundo,CA,90245-4637,201 North Douglas St.,El Segundo,CA,90245-4637,(310) 725-5800,No Data,(310) 536-7123,ewhalen@davincischools.org,Erin Whalen,(310) 725-5800,No Data,ewhalen@davincischools.org
School,19101990140681,14580,0602557,Los Angeles,Los Angeles County Office of Education,Environmental Charter High - Gardena,Active,8/23/2021,No Data,Y,2098,Directly funded,Traditional,High Schools (Public),9,12,Not Virtual,N,Y,Y,N,www.ecsonline.org,33.887035,-118.325328,2/9/2023,2818 Manhattan Beach Blvd.,Gardena,CA,90249-4534,2818 Manhattan Beach Blvd.,Gardena,CA,90249,(310) 214-3408,No Data,(424) 456-7439,info@ecsonline.org,Cindy Guardado,(310) 214-3408,No Data,cindy_guardado@ecsonline.org
School,19101990121772,12673,0601708,Los Angeles,Los Angeles County Office of Education,Environmental Charter Middle,Active,8/31/2010,No Data,Y,1204,Directly funded,Traditional,Intermediate/Middle Schools (Public),6,8,Not Virtual,N,Y,Y,N,www.ecmsgardena.org,33.880446,-118.289578,2/9/2023,812 West 165th Pl.,Gardena,CA,90247-5105,812 West 165th Pl.,Gardena,CA,90247-5105,(310) 425-1605,No Data,(310) 217-1096,info@ecsonline.org,Dave Trejo,(310) 425-1605,No Data,dave_trejo@ecsonline.org
School,19101990127498,13591,0601540,Los Angeles,Los Angeles County Office of Education,Environmental Charter Middle - Inglewood,Active,7/1/2013,No Data,Y,1501,Directly funded,Traditional,Intermediate/Middle Schools (Public),6,8,Not Virtual,N,Y,Y,N,www.ecsonline.org,33.930642,-118.335892,2/9/2023,3600 West Imperial Hwy.,Inglewood,CA,90303-2714,3600 West Imperial Hwy.,Inglewood,CA,90303-2714,(310) 793-0157,No Data,(310) 680-9843,info@ecsonline.org,Geneva Matthews,(310) 793-0157,No Data,geneva_matthews@ecsonline.org
School,19101990134346,14009,0601535,Los Angeles,Los Angeles County Office of Education,Intellectual Virtues Academy,Active,8/31/2016,No Data,Y,1814,Directly funded,Traditional,High Schools (Public),9,12,Not Virtual,N,N,Y,N,www.academylongbeach.org,33.787916,-118.189829,2/9/2023,1637 Long Beach Blvd.,Long Beach,CA,90813-4001,1637 Long Beach Blvd.,Long Beach,CA,90813-4001,(562) 283-4456,No Data,No Data,info@academylongbeach.org,Summer Sanders,(562) 283-4456,No Data,summer.sanders@academylongbeach.org
School,19101990106880,10853,0602019,Los Angeles,Los Angeles County Office of Education,Jardin de la Infancia,Active,9/1/2004,No Data,Y,0663,Directly funded,Traditional,Elementary Schools (Public),K,1,Not Virtual,N,N,Y,N,No Data,34.035321,-118.262415,2/9/2023,"1400 S Broadway Los Angeles, CA 90015",Los Angeles,CA,90015-2209,"1400 S Broadway Los Angeles, CA 90015",Los Angeles,CA,90015,(213) 614-1745,No Data,(213) 614-2046,No Data,Zuzy Chavez,No Data,No Data,jardindelainfancia@me.com
School,19101990140772,14581,0602553,Los Angeles,Los Angeles County Office of Education,KIPP Poder Public,Active,8/16/2021,No Data,Y,2112,Directly funded,Traditional,Elementary Schools (Public),K,8,Not Virtual,N,N,Y,N,www.kippsocal.org/poder,34.020533,-118.141923,2/9/2023,630 Leonard Ave.,Los Angeles,CA,90022-3508,630 Leonard Ave.,Los Angeles,CA,90022-3508,(213) 489-4461,No Data,No Data,dsalazar@kippsocal.org,Daisy Salazar-Garza,(323) 430-0775,No Data,dsalazar@kippsocal.org
School,19101990128025,13261,0601955,Los Angeles,Los Angeles County Office of Education,Lashon Academy,Active,8/14/2014,No Data,Y,1560,Directly funded,Traditional,Elementary Schools (Public),K,8,Not Virtual,N,N,Y,N,http://lashonacademy.org,34.206356,-118.457491,2/9/2023,7477 Kester Ave.,Van Nuys,CA,91405-1722,7119 West Sunset Blvd. Ste. 420,Los Angeles,CA,90046,(818) 514-4566,No Data,(818) 337-0102,enroll@lashonacademy.org,Sara Garcia,(818) 514-4566,No Data,sgarcia@lashonacademy.org
School,19101990139170,14405,0602489,Los Angeles,Los Angeles County Office of Education,Lashon Academy City,Active,8/12/2019,No Data,Y,2029,Directly funded,Traditional,Elementary Schools (Public),K,6,Primarily Classroom,N,N,Y,N,www.lashonacademy.org,34.026630,-118.324179,2/9/2023,3109 Sixth Ave.,Los Angeles,CA,90018-2920,7119 West Sunset Blvd.,Los Angeles,CA,90046,(818) 514-4566,No Data,(818) 337-0102,josh@lashonacademy.org,Sara Garcia,(818) 514-4566,No Data,sgarcia@lashonacademy.org
School,19101996119945,10524,0601706,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy,Active,9/12/2002,No Data,Y,0438,Directly funded,Traditional,K-12 Schools (Public),6,12,Not Virtual,N,N,Y,N,https://msal.magnoliapublicschools.org,34.201083,-118.530541,2/9/2023,18238 Sherman Way,Reseda,CA,91335-4550,18238 Sherman Way,Reseda,CA,91335-4550,(818) 609-0507,No Data,(818) 609-0534,No Data,Brad Plonka,No Data,No Data,bplonka@magnoliapublicschools.org
School,19101990115212,11842,0602319,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 2,Active,9/5/2007,No Data,Y,0906,Directly funded,Traditional,K-12 Schools (Public),6,12,Primarily Classroom,N,N,Y,N,http://msa2.magnoliapublicschools.org,34.186690,-118.505421,2/9/2023,17125 Victory Blvd.,Van Nuys,CA,91406-5455,17125 Victory Blvd.,Van Nuys,CA,91406-5455,(818) 758-0300,No Data,(818) 758-0333,No Data,David Garner,No Data,No Data,dgarner@magnoliapublicschools.org
School,19101990115030,12010,0602194,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 3,Active,9/3/2008,No Data,Y,0917,Directly funded,Traditional,K-12 Schools (Public),6,12,Not Virtual,N,N,Y,N,http://msa3.magnoliapublicschools.org,33.851607,-118.249577,2/9/2023,1254 East Helmick St.,Carson,CA,90746-3164,1254 East Helmick St.,Carson,CA,90746-3164,(310) 637-3806,No Data,(310) 933-4767,No Data,Zekeriya Ocel,No Data,No Data,zocel@magnoliapublicschools.org
School,19101990137679,12347,0601885,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 5,Active,7/1/2018,No Data,Y,0987,Directly funded,Traditional,K-12 Schools (Public),6,12,Not Virtual,N,N,Y,N,http://msa5.magnoliapublicschools.org/,34.200724,-118.530231,2/9/2023,18238 Sherman Way,Reseda,CA,91335-6121,18238 Sherman Way,Reseda,CA,91335-6121,(818) 705-5676,No Data,(818) 705-5627,msa5@magnoliapublicschools.org,Ali Kaplan,(818) 705-5676,No Data,akaplan@magnoliapublicschools.org
School,19101990100776,11339,0601564,Los Angeles,Los Angeles County Office of Education,North Valley Military Institute College Preparatory Academy,Active,9/2/2003,No Data,Y,0540,Directly funded,Traditional,K-12 Schools (Public),6,12,Primarily Classroom,N,Y,Y,N,http://novamil.org,34.234622,-118.396563,2/9/2023,12105 Allegheny St.,Sun Valley,CA,91352,"8309 Laurel Canyon Blvd., #295",Sun Valley,CA,91352,(818) 368-1557,No Data,(818) 368-1935,info@novamil.org,Mark Ryan,(818) 368-1557,2215,mryan@novamil.org
School,19101996116883,08012,0601915,Los Angeles,Los Angeles County Office of Education,Odyssey Charter,Active,9/7/1999,No Data,Y,0249,Directly funded,Traditional,Elementary Schools (Public),K,8,Not Virtual,N,N,Y,N,www.odysseycharterschool.org,34.199346,-118.162116,2/9/2023,725 West Altadena Dr.,Altadena,CA,91001-4103,725 West Altadena Dr.,Altadena,CA,91001-4103,(626) 229-0993,No Data,(626) 229-0586,No Data,Lauren  O'Neill,(626) 229-0993,No Data,laureno@ocsmail.org
School,19101990135582,14144,0601612,Los Angeles,Los Angeles County Office of Education,Russell Westbrook Why Not? High,Active,8/15/2017,No Data,Y,1817,Directly funded,Traditional,High Schools (Public),9,12,Not Virtual,N,N,Y,N,www.russellwestbrookwhynoths.org,33.995341,-118.308512,2/9/2023,1755 West 52nd St.,Los Angeles,CA,90062-2347,1755 West 52nd St.,Los Angeles,CA,90062-2347,(213) 745-4928,No Data,(213) 652-1818,info@lapromisefund.org,Donna Jacobson,(213) 745-4928,No Data,donnaj@lapromisefund.org
School,19101990134361,14033,0602380,Los Angeles,Los Angeles County Office of Education,Russell Westbrook Why Not? Middle,Active,8/30/2016,No Data,Y,1818,Directly funded,Traditional,Intermediate/Middle Schools (Public),6,8,Not Virtual,N,N,Y,N,www.russellwestbrookwhynotms.org,34.001137,-118.309155,2/9/2023,1700 West 46th St.,Los Angeles,CA,90062-2347,1933 Broadway #1108,Los Angeles,CA,90007-2347,(323) 403-0770,No Data,(213) 652-1818,info@lapromisefund.org,Donna Jacobson,(323) 403-0770,No Data,donnaj@lapromisefund.org
School,19101990137166,14349,0601965,Los Angeles,Los Angeles County Office of Education,Soleil Academy Charter,Active,8/8/2018,No Data,Y,1931,Directly funded,Traditional,Elementary Schools (Public),K,5,Primarily Classroom,N,N,Y,N,www.soleilacademy.org,33.917011,-118.201802,2/9/2023,3900 Agnes Ave.,Lynwood,CA,90262-4415,"3900 Agnes Ave,",Lynwood,CA,90262,(323) 409-0801,No Data,No Data,bgutierrez@soleilacademy.org,Beatriz Gutierrez,(323) 409-0801,No Data,bgutierrez@soleilacademy.org
School,19101990140756,14576,0602561,Los Angeles,Los Angeles County Office of Education,T.I.M.E. Community,Active,7/1/2021,No Data,Y,2110,Directly funded,Traditional,High Schools (Public),9,12,Not Virtual,N,N,Y,N,www.timecommunityschools.org,34.015640,-118.122875,2/9/2023,2100 West Cleveland Ave.,Montebello,CA,90640-4032,420 North Montebello Blvd. #300,Montebello,CA,90640,(323) 424-6910,No Data,No Data,info@timecommunityschools.org,Gabriel Ramirez,(626) 272-2146,No Data,gramirez@timecommunityschools.org
School,19101990140962,14606,0602583,Los Angeles,Los Angeles County Office of Education,The SEED School of Los Angeles County,Active,7/1/2022,No Data,Y,2108,Directly funded,Traditional,High Schools (Public),9,12,Not Virtual,N,N,Y,N,http://seedschoolla.org,34.126092,-118.472298,2/9/2023,15600 Mulholland Dr.,Los Angeles,CA,90077-1519,15600 Mulholland Dr.,Los Angeles,CA,90077,(323) 843-6700,No Data,No Data,info@seedschoolla.org,Jubria Lewis,(202) 705-8718,No Data,jlewis@seedschoolla.org
